,title,artist,album,id,year,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,zcr,bandwidth,centroid,rolloff,acousticness,danceability,energy,loudness,speechiness,tempo,valence
0,Rapper's Delight,The Sugarhill Gang,The Sugarhill Gang,1FnxNtKli7rcB9IU4J8MEg,1980,./data/Rapper's Delight.mp3,-1.5202269513539666,-1.2628241761982963,1.2551917406103954,1.0438906270538637,0.26486787948627066,0.05771125972413862,-0.5204580095790188,-0.651726294769236,-0.13691483649810998,-1.4298307465408502,-0.6968363239479001,-0.5379496410209624,0.031869387841529144,0.03528107465422415,-0.2730990148931542,-0.6991841320683586,-0.14367120366481023,-0.28925531559060946,-0.5157361366653058,-0.7247448721403363,-0.6266009971883588,-0.010140208566366108,0.3886084554314609,0.7714226619495242,1.306169200696667,1.8409984274772808,1.6573490645966784,1.8348005000725796,0.22,0.905,0.692,-14.143,0.199,111.292,0.943
1,The Breaks,Kurtis Blow,Kurtis Blow,5TvcggVu3s2P1fMAS8BupX,1980,./data/The Breaks.mp3,-1.0190094147068962,0.5455761772950289,-0.09285561063262283,-0.443371135573244,0.028685019775697325,-0.8096314580088306,-0.10574094879034189,-0.23150052771624174,-0.7095823723636318,-0.7937108476274076,-0.9647076100391091,-0.6823599829309528,-0.6947173439570947,-0.3561538289976158,0.24792141185159944,-0.17974827283394978,0.6813350523727284,-0.042650599083780966,0.49163025890656575,-0.25675282128037014,-1.1959503283851756,-1.0406974869055794,-0.6994574281524192,0.6330474808726931,-0.34153277228851164,0.3427261274842528,-0.2688652084326186,0.025154115723024294,0.0987,0.91,0.576,-13.256,0.109,112.877,0.907
2,Apache,The Sugarhill Gang,8th Wonder,4UCkX8nrBlpxjrrEqtb46a,1981,./data/Apache.mp3,0.7049400151018027,-0.6897186401648383,-1.7943515954769236,-1.3682394627635839,-2.7998348381386124,-0.7639311749426418,-0.45271742582085733,-0.7278137124309427,0.07919268412359501,0.6321315093507753,1.3865244332226547,0.31804862654870386,-1.2775516355289387,-0.9315787934005927,-0.1813836645815775,0.6286357994569319,1.55095099443838,-0.051518181777429964,0.1457479089098782,-0.5514274563272802,-0.5608103215704409,-0.060210977984823194,-0.49331260462443344,-0.6497859308543361,1.5237278863170527,0.18003621147063165,0.8803761700063324,0.6551586561182557,0.332,0.827,0.928,-7.266,0.133,115.023,0.261
3,8th Wonder,The Sugarhill Gang,8th Wonder,6m0wOLtrzaNwMofVVJTJqs,1981,./data/8th Wonder.mp3,0.4434944804601332,-1.1314870528211953,-2.393581702652625,-1.267742259794366,-1.5685166701834163,-1.0607568186459564,-1.317769677014758,-0.028133992651007845,-1.346930540108662,-0.23616802160970043,0.2951417447174583,-0.3934562397222868,-0.09351057850600974,0.49528700037108353,-0.1875661499580586,0.22793780732254443,0.307623209974844,0.5435238598578642,0.35036466807797756,-0.36114170373734567,-0.16328684903671276,-0.46078404270581935,-0.09767722191262963,-0.2793840594011827,2.189802009845847,0.18667953147844185,1.3683707161457914,0.869361042179097,0.298,0.871,0.937,-8.536,0.195,106.494,0.675
4,Planet Rock,Afrika Bambaataa,Planet Rock,3uy0jtkM8QYVTsBazkli1x,1982,./data/Planet Rock.mp3,-0.35605862895742957,-2.0954877324941075,-0.3107160351964873,-0.8103648585489446,-0.24213995311491343,-0.06178721366279029,0.3007131439817682,0.30434740152879663,0.5564152296513734,0.3691142050425999,0.5020269197169521,-0.20072899395151791,1.2030551846758586,0.985123905121895,0.354457748023768,0.06488776764104556,-0.46751583987313855,-0.5676361942391256,0.3219035881613574,0.28973445345244536,0.9462977586602904,0.9897473568203683,0.9682195652194668,2.0382933074301945,2.2334237260868917,1.2996037894800045,2.1936671535802077,1.8565584782642022,0.011,0.915,0.807,-9.636,0.13,127.35,0.708
5,The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,The Message,5DuTNKFEjJIySAyJH1yNDU,1982,./data/The Message.mp3,-0.8518033755564608,-1.0933142488164107,-0.5717101193366337,0.40984643215145095,0.2775744782054336,0.25721730838002166,-0.3539849541153002,0.16848694244792606,0.0038417728751915054,-0.279936136036097,0.12775285875827122,-0.0019919938318810103,0.33848112762204136,0.8026754332035247,1.518401267303315,1.0349906756487768,0.7082955424616244,0.824583347729332,0.21509216040978818,0.2091362924041984,-0.2504325077320257,-0.24815694110739314,-0.20607917087868383,-0.023913563802666963,1.1739248417306727,0.3417808716892505,0.9377693082011241,0.6970596964217761,0.0249,0.947,0.607,-10.58,0.202,100.619,0.732
6,Money Dollar Bill Y'all,Jimmy Spicer,Money Dollar Bill Y'all,3Bu69QHyCAyBy8TQ8N1lIA,1983,./data/Money Dollar Bill Y'All.mp3,-0.15125756133376875,1.6022392515410817,0.6766726629003553,0.332874976573185,-0.17122403088669214,-0.05107302177940487,0.7319117223234041,-0.28274484898166585,-0.8057423055294441,-0.39291816931417645,0.5458796353179813,-0.09286912752348497,-1.607201095383113,-1.40681956941289,-0.44487522997016005,-0.4622547114769533,-0.500697765439334,-0.6349288866068555,-0.05393018298651326,-0.3310126423074323,0.5598087975369431,1.6091792696603655,-0.4594926878535419,-1.5666198490702183,-1.0881754800442358,-1.395944934817638,-1.5985832590004883,-1.7282734027660824,0.0303,0.862,0.669,-10.26,0.158,99.379,0.668
7,Sucker D.J.'s (I Will Survive),Dimples D.,Sucker D.J.'s (I Will Survive),3GdWz9M6RrwipY72BIdhMA,1983,./data/Sucker D.J.'s (I Will Survive).mp3,-1.232624162504715,-0.42135410816640256,-1.5415030476220206,1.0248682778225169,-0.37742600341297544,0.15463350661467473,1.0279021309860537,0.5508255352060956,0.2883023654988288,0.7403952453768072,0.5163077349924996,0.08546917895734292,0.4566504050690753,0.2342677293693253,0.31920639492789443,1.2036207137244372,1.4701928093918029,1.3043133939929052,0.9012271323074801,0.7312851832102265,-0.1468708744182102,-0.42085252547918844,0.42178063408749106,1.196476579236757,0.005146053526478149,-1.0879905943346617,-0.2685050919919814,-0.6357953522203579,0.038,0.868,0.832,-9.08,0.136,107.979,0.931
8,Jam On It,Newcleus,Jam On Revenge,1lB2kyB5h9ceZ388GBfC9L,1984,./data/Jam On It.mp3,0.4086231572526289,-0.6700995753401336,1.1785261670606042,-0.7660743435384182,1.1200629787611354,1.1590819610613223,0.9163441672818684,0.5015275693555564,0.4963082878005188,0.08161109218437819,0.2517109483237098,-0.8067850927530426,1.0671509957366587,1.373982058426455,0.1483753184473876,0.013830908980935685,0.48766078994753376,-0.29313546024257664,-0.6133829419093434,-0.7604788279824377,0.3571519958960309,0.2072515924994863,0.2614710402599771,1.117299625452027,0.4047548317297415,1.7353328291675676,1.124228377154078,1.5101660237548211,0.00302,0.804,0.782,-6.224,0.0606,116.806,0.346
9,It's Like That,Run–D.M.C.,RUN-DMC (Expanded Edition),2J6QnTjHIWwXErNWyF0RUC,1984,./data/It's Like That.mp3,-0.6378795891631329,-1.068307105749039,-1.7310479992623324,0.31072787256674383,-0.7065962065098512,0.2695455137602436,-0.7917269524256427,0.5309703599109634,-0.5991232470098643,-0.0401619169471872,-0.3905829558960385,-0.7720267526032166,-0.001475764734803979,0.7935182958967462,1.077472819880953,1.6390837740529858,0.6697999795482578,0.6966229406872588,0.8792180911375376,-0.511673288887702,-0.764674777825347,-0.67405285433094,0.22243461088938704,0.28920171692614155,1.6237036427470655,-0.059084959463759704,0.9428224303915391,0.6403999817770177,0.0591,0.964,0.889,-5.169,0.147,121.144,0.552
